rank,date,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation
527,1996-08-21,1996,8,Phase_2_pleine,Pleine saison,234,97,21.556,26.296130947231017,43.567,15.731656074523926,7.159680169503076,2.9613662104656626,5.645,0.7295389430131,15.06,-15.255,Louga,Linguère,Zone soudano-sahélienne,13.375,-15.375,Kolda,Kolda,3.75,3.75,417.45,403.1131475156535,11,23,3,0.0110735219372115,580.3143332065622,2.8226713707022952,PASSED
529,1998-07-23,1998,7,Phase_2_pleine,Pleine saison,204,97,21.556,25.667051703659528,55.577,7.650410175323486,11.515391218959358,2.957391119071676,4.589,0.6250449734590301,14.199,-15.323,Kaffrine,Kaffrine,Zone soudano-sahélienne,12.625,-16.125,Sédhiou,Goudomp,4.25,4.5,473.11,485.6355613724953,11,19,3,0.0123843528290149,677.9933340155925,2.294740923075317,PASSED
532,1982-08-10,1982,8,Phase_2_pleine,Pleine saison,222,96,21.333,34.667038122812905,54.928,16.68781089782715,9.563220038256746,2.777284100071155,5.122,0.7381730772823137,13.63,-13.399,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-13.625,Kolda,Vélingara,3.0,5.25,333.96,567.9710552971694,7,17,2,0.0112093570469394,658.8781322011531,2.5608558141801496,PASSED
536,2000-08-30,2000,8,Phase_2_pleine,Pleine saison,243,96,21.333,26.38829259077708,37.411,14.312910079956056,4.733355407228986,2.704977194122657,4.363,0.5987076220064851,14.621,-13.164,Tambacounda,Goudiry,Zone soudano-sahélienne,14.875,-12.625,Matam,Kanel,3.25,4.25,361.79,457.789011221261,4,9,3,0.0107518206730404,583.4918907812171,2.181250293975544,PASSED
538,2009-08-07,2009,8,Phase_2_pleine,Pleine saison,219,95,21.111,25.12656353398373,41.743,11.984411239624023,7.726376576418582,2.8859392577170357,6.14,0.9462224051911776,14.633,-13.602,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-11.875,Kédougou,Kédougou,4.25,5.25,473.11,565.4726239585252,8,16,3,0.0115216339905074,737.2871563689006,3.0701133640580585,PASSED
541,2020-08-23,2020,8,Phase_2_pleine,Pleine saison,236,95,21.111,32.470715352108606,56.61,16.469533920288086,7.879579872635176,2.611534471418083,4.291,0.4903514244032743,13.817,-12.942,Tambacounda,Goudiry,Zone soudano-sahélienne,12.875,-13.875,Tambacounda,Tambacounda,3.25,3.0,361.79,324.29644065420865,4,10,3,0.0111461832029041,485.8602568985127,2.145722924692608,PASSED
544,2014-08-14,2014,8,Phase_2_pleine,Pleine saison,226,94,20.889,42.41259396329839,109.721,18.023061752319336,21.95491361078855,3.2796709104459376,6.673,1.1545048046649626,13.283,-15.458,Kolda,Kolda,Zone soudanienne,12.375,-16.625,Ziguinchor,Oussouye,3.0,3.0,333.96,325.02497696449257,9,22,2,0.0134889612860194,466.01556743124894,3.3364707003469563,PASSED
546,2007-07-10,2007,7,Phase_2_pleine,Pleine saison,191,94,20.889,20.33358386729626,34.383,5.4655961990356445,6.59473093903754,2.8501874870998765,4.458,0.6500592965989335,14.047,-13.893,Tambacounda,Tambacounda,Zone soudano-sahélienne,13.375,-14.125,Tambacounda,Tambacounda,4.25,3.0,473.11,323.973303647176,6,12,3,0.0117573194122606,573.403665820219,2.228893202954809,PASSED
548,2023-07-29,2023,7,Phase_2_pleine,Pleine saison,210,93,20.667,41.39300252032536,74.439,11.285259246826172,13.874412873609694,3.803748937797833,7.138,1.3543945029450886,13.297,-14.936,Kolda,Kolda,Zone soudanienne,12.625,-14.625,Kolda,Médina Yoro Foulah,4.0,3.75,445.28,406.2586921393787,11,23,3,0.0119607590624196,602.7606541478951,3.569098318451375,PASSED
549,2017-08-22,2017,8,Phase_2_pleine,Pleine saison,234,93,20.667,54.61634346746629,96.024,26.102445602416992,17.262267674176385,3.656073031022714,5.999,1.044036892921512,12.792,-13.595,Tambacounda,Tambacounda,Zone soudanienne,12.375,-14.125,Kolda,Médina Yoro Foulah,1.5,5.0,166.98,542.7861563736141,5,13,2,0.0118268445282635,567.8900685081721,2.9995229381881727,PASSED
