metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
mean_precip,Precipitation moy. (mm),Nino3,2,-0.1139,0.3083,0.3083,-0.0465,0.6779,0.6779,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino34,2,-0.0659,0.5566,0.5566,0.0057,0.9594,0.9594,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino4,2,-0.0281,0.8022,0.8022,0.0117,0.9169,0.9169,82,82,,,,
mean_precip,Precipitation moy. (mm),IOD,2,-0.1863,0.0939,0.0939,-0.1849,0.0962,0.0962,82,82,,,,
mean_precip,Precipitation moy. (mm),IOBM,2,-0.1713,0.1239,0.1239,-0.1171,0.2948,0.2948,82,82,,,,
mean_precip,Precipitation moy. (mm),TNA,2,-0.0559,0.6182,0.6182,-0.0303,0.7869,0.7869,82,82,,,,
mean_precip,Precipitation moy. (mm),TSA,2,0.1175,0.293,0.293,0.0997,0.3727,0.3727,82,82,,,,
mean_precip,Precipitation moy. (mm),ATL3,2,0.0995,0.3737,0.3737,0.121,0.2787,0.2787,82,82,,,,
mean_precip,Precipitation moy. (mm),AMM,2,-0.1215,0.2768,0.2768,-0.07,0.5321,0.5321,82,82,,,,
mean_precip,Precipitation moy. (mm),AMO,2,0.0395,0.7245,0.7245,0.093,0.406,0.406,82,82,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,2,-0.1845,0.097,0.1058,-0.1495,0.18,0.1913,82,78,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,2,-0.2335,0.0347,0.0396,-0.2579,0.0193,0.0226,82,78,*,*,*,*
max_anomaly,Anomalie max moy. (sigma),Nino34,2,-0.2385,0.0309,0.0354,-0.277,0.0118,0.0141,82,78,*,*,*,*
max_anomaly,Anomalie max moy. (sigma),Nino4,2,-0.2841,0.0097,0.0117,-0.3258,0.0028,0.0036,82,78,**,**,*,**
