metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,pearson_p_fdr,spearman_p_fdr,sig_pearson,sig_spearman
max_anomaly,Anomalie max moy. (sigma),Nino3,12,-0.2269,0.057,0.057,-0.2754,0.0201,0.0201,71,71,,*,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino34,12,-0.217,0.0691,0.0691,-0.2716,0.022,0.022,71,71,,*,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino4,12,-0.1574,0.1898,0.1898,-0.2383,0.0453,0.0453,71,71,,*,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),IOD,12,-0.0656,0.5867,0.5867,-0.0214,0.8594,0.8594,71,71,,,0.9298,0.9987,,
max_anomaly,Anomalie max moy. (sigma),IOBM,12,-0.1391,0.2472,0.2472,-0.2588,0.0293,0.0293,71,71,,*,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),TNA,12,0.1613,0.179,0.179,0.0383,0.751,0.751,71,71,,,0.9165,0.9987,,
max_anomaly,Anomalie max moy. (sigma),TSA,12,0.2167,0.0695,0.0695,0.2509,0.0348,0.0348,71,71,,*,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),ATL3,12,0.1824,0.1278,0.1278,0.1544,0.1985,0.1985,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),AMM,12,-0.0234,0.8466,0.8466,-0.1224,0.3093,0.3093,71,71,,,0.9796,0.9602,,
max_anomaly,Anomalie max moy. (sigma),AMO,12,0.0144,0.9051,0.9051,-0.0476,0.6937,0.6937,71,71,,,0.9796,0.9987,,
coverage_percent,Couverture spatiale moy. (%),Nino12,12,-0.0961,0.4255,0.4576,-0.1086,0.3674,0.4009,71,62,,,0.9264,0.9602,,
coverage_percent,Couverture spatiale moy. (%),Nino3,12,-0.0845,0.4837,0.507,-0.0858,0.4769,0.5003,71,64,,,0.9298,0.9629,,
coverage_percent,Couverture spatiale moy. (%),Nino34,12,0.0725,0.5477,0.572,0.0553,0.6471,0.6671,71,63,,,0.9298,0.9955,,
coverage_percent,Couverture spatiale moy. (%),Nino4,12,0.2526,0.0336,0.0496,0.2424,0.0417,0.0598,71,61,*,*,0.9165,0.9602,,
coverage_percent,Couverture spatiale moy. (%),IOD,12,-0.1493,0.214,0.2174,-0.1955,0.1023,0.1048,71,70,,,0.9165,0.9602,,
coverage_percent,Couverture spatiale moy. (%),IOBM,12,-0.1763,0.1415,0.1536,-0.1841,0.1243,0.1359,71,67,,,0.9165,0.9602,,
coverage_percent,Couverture spatiale moy. (%),TNA,12,-0.0545,0.652,0.6691,0.0875,0.468,0.4916,71,64,,,0.9402,0.9602,,
coverage_percent,Couverture spatiale moy. (%),TSA,12,0.105,0.3836,0.4091,0.1285,0.2856,0.3117,71,64,,,0.9165,0.9602,,
coverage_percent,Couverture spatiale moy. (%),ATL3,12,0.1034,0.3908,0.4161,0.1186,0.3247,0.3507,71,64,,,0.9165,0.9602,,
coverage_percent,Couverture spatiale moy. (%),AMM,12,-0.1107,0.358,0.3877,-0.0317,0.7931,0.8053,71,63,,,0.9165,0.9987,,
coverage_percent,Couverture spatiale moy. (%),AMO,12,-0.096,0.426,0.4543,-0.0181,0.8809,0.888,71,63,,,0.9264,0.9987,,
